CC,DD,AApqr_BBnqx,AApqr_BBbgp,AApqr_BBcjx,AAcy_BBbkv,AAcy_BBbsz,AAcy_BBhpt,AAmz_BBdhv,AAmz_BBbpv,AAmz_BBgqt
Average,,13.09,-67.51,64.88,46.40,-15.44,-71.97,-35.59,86.56,30.74
,  ,13.09,-67.51,64.88,46.40,-15.44,-71.97,-35.59,86.56,30.74
CCfnw,,11.82,-68.10,64.49,47.09,-15.92,-77.74,-38.46,86.11,30.34
,  DDkrs,10.62,-68.11,65.28,46.29,-15.40,-46.73,-39.33,83.15,28.79
,  DDgv,16.63,-63.64,66.73,49.91,-12.78,-91.49,-32.17,88.29,32.21
,  DDqz,8.23,-72.56,61.46,45.07,-19.58,-95.01,-43.87,86.89,30.02
CChpx,,15.84,-64.44,66.96,48.49,-12.73,-76.04,-29.65,88.26,31.99
,  DDdlz,18.78,-63.93,70.92,51.91,-9.99,-87.52,-31.75,90.80,34.63
,  DDlmr,15.01,-62.30,67.92,47.20,-11.78,-45.96,-20.37,86.50,29.80
,  DDcmp,13.74,-67.08,62.04,46.37,-16.43,-94.65,-36.83,87.49,31.55
CCbt,,11.62,-69.98,63.19,43.62,-17.67,-62.13,-38.66,85.32,29.88
,  DDmx,9.84,-70.66,61.25,41.53,-17.34,5.80,-39.65,82.68,29.34
,  DDbmz,16.74,-66.44,65.82,47.22,-12.81,-94.77,-33.18,88.99,31.69
,  DDcwz,8.27,-72.85,62.49,42.12,-22.84,-97.41,-43.17,84.29,28.61
