CC,DD,AApqr_BBqz,AApqr_BBlt,AApqr_BBnqx,AAfnw_BBkrs,AAfnw_BBbgp,AAcqx_BBgv,AAcqx_BBcjx,Minimum,EE,FF
CCcy,,51.44,93.91,11.27,29.99,59.34,70.20,41.30,11.27,,
,  DDbkv,51.44,93.91,11.27,29.99,59.34,70.20,41.30,11.27,EEhpx,FFlmr
,  DDbmz,56.34,96.75,21.32,37.22,65.23,78.68,47.13,21.32,EEmz,FFgqt
CCbt,,49.78,85.14,6.85,27.96,58.70,68.37,41.51,6.85,,
,  DDhpt,54.49,94.47,19.98,35.65,64.97,73.92,45.91,19.98,EEhpx,FFlmr
,  DDmx,49.78,85.14,6.85,27.96,58.70,68.37,41.51,6.85,EEmz,FFgqt
CCkqy,,51.54,94.19,14.24,33.29,61.71,70.41,43.90,14.24,,
,  DDcwz,51.54,94.19,14.24,33.29,61.71,70.41,43.90,14.24,EEmz,FFgqt
,  DDbsz,56.19,98.92,24.24,40.52,65.89,78.30,47.72,24.24,EEhpx,FFlmr
Minimum,,49.78,85.14,6.85,27.96,58.70,68.37,41.30,6.85,,
,  ,49.78,85.14,6.85,27.96,58.70,68.37,41.30,6.85,,
