CC,DD,AAdk_BBdl,AAdk_BBtw,AAdk_BBmn,AAdn_BBpw,AAdn_BBrv
Average,,-4.81,3.89,-6.07,41.48,9.12
,  ,-4.81,3.89,-6.07,41.48,9.12
CCbx,,-16.15,5.30,-30.59,53.20,25.59
,  DDnt,-1.59,9.25,62.28,0.02,30.52
,  DDrz,-32.89,2.78,-84.56,75.42,18.44
,  DDcs,-13.98,3.86,-69.49,84.16,27.81
CChv,,-23.21,1.98,47.88,-9.81,21.19
,  DDnt,-35.92,-0.90,33.82,-64.34,10.79
,  DDhm,-11.36,4.68,61.28,86.32,30.55
,  DDcl,-22.35,2.16,48.53,-51.40,22.23
CCst,,24.94,4.41,-35.51,81.03,-19.43
,  DDlp,-16.35,3.14,57.85,81.87,25.96
,  DDdf,-2.58,8.45,-66.49,88.44,-97.24
,  DDnw,93.76,1.63,-97.89,72.79,12.98
