CC,DD,AAfnw_BBknr,AAfnw_BBkrs,AAfnw_BBbgp,AApqr_BBnqx,AApqr_BBlt,AApqr_BBqz,AAcqx_BBgv,AAcqx_BBcjx,EE,FF
Minimum,,88.54,8.68,48.14,1.08,73.41,33.54,58.21,23.90,,
,  ,88.54,8.68,48.14,1.08,73.41,33.54,58.21,23.90,,
CCbt,,88.54,8.68,48.14,1.08,73.41,33.54,58.21,23.90,,
,  DDbmz,97.14,16.31,53.76,4.47,80.53,41.69,69.08,30.75,EEmz,FFlmr
,  DDcwz,91.66,13.54,50.59,2.17,77.57,38.10,68.07,27.16,EEmz,FFbpv
,  DDmx,88.54,8.68,48.14,1.08,73.41,33.54,58.21,23.90,EEmz,FFgqt
CCcy,,90.12,12.86,50.09,2.91,74.81,36.03,67.00,25.38,,
,  DDbkv,90.12,12.93,50.09,2.91,74.81,36.03,67.00,25.38,EEhpx,FFlmr
,  DDmx,99.82,21.34,56.30,7.24,87.49,42.22,70.44,30.87,EEhpx,FFbpv
,  DDhpt,94.20,12.86,52.90,4.27,77.43,40.35,69.29,28.08,EEhpx,FFgqt
