DD,EE,AApqr_BBgv_CCbt,AApqr_BBnry_CCbt,AApqr_BBnqx_CCbt,AAhpx_BBlsx_CCcqx,AAhpx_BBlmr_CCcqx,AAgqt_BBhpt_CCkrs,AAgqt_BBfnw_CCkrs
DDmx,,14.74,18.89,13.73,0.25,-38.96,-8.98,-93.10
,  EEcrv,-21.49,-64.63,25.33,-38.77,-78.98,-46.14,-88.70
,  EEmz,-32.30,58.17,1.62,-48.60,-85.94,-61.28,-97.61
,  EEkqy,98.00,63.14,14.24,88.11,48.04,80.48,-93.00
DDcy,,19.67,21.25,21.49,45.32,-37.38,37.66,-48.06
,  EEbkv,96.84,60.64,10.31,86.52,-83.84,79.69,33.26
,  EEmz,-13.70,-61.63,31.96,-38.69,-77.97,-46.69,-87.16
,  EEqz,-24.14,64.75,22.20,88.14,49.67,79.98,-90.28
Average,,17.20,20.07,17.61,22.78,-38.17,14.34,-70.58
,  ,17.20,20.07,17.61,22.78,-38.17,14.34,-70.58
