CC,DD,AApqr_BBcjx,AApqr_BBnqx,AAfnw_BBkrs,AAfnw_BBqz,Minimum,EE,FF
CCcy,,67.07,6.82,40.65,78.10,6.82,,
,  DDhlt,71.45,22.65,58.18,93.96,22.65,EEmz,FFlmr
,  DDbmz,70.01,14.52,55.63,82.76,14.52,EEmz,FFgqt
,  DDbkv,67.07,6.82,40.65,78.10,6.82,EEmz,FFlmr
CCkqy,,69.73,7.37,45.35,79.18,7.37,,
,  DDmx,75.41,27.47,62.62,93.80,27.47,EEmz,FFgqt
,  DDcwz,69.73,7.37,45.35,79.18,7.37,EEmz,FFgqt
,  DDbsz,71.72,17.75,56.92,90.62,17.75,EEmz,FFlmr
CCbt,,67.36,2.03,39.21,75.25,2.03,,
,  DDmx,67.36,2.03,39.21,75.25,2.03,EEmz,FFgqt
,  DDhpt,70.90,13.18,51.55,78.02,13.18,EEmz,FFlmr
,  DDmpy,70.95,18.49,58.03,92.66,18.49,EEmz,FFgqt
Minimum,,67.07,2.03,39.21,75.25,2.03,,
,  ,67.07,2.03,39.21,75.25,2.03,,
