AA,BB,CC,DD,Value
AA,BB,CC,DD,Value
AApqr,BBnqx,CCbt,DDmx,5.84
AApqr,BBnqx,CCfnw,DDkrs,15.49
AApqr,BBnqx,CChpx,DDlmr,18.52
AApqr,BBnqx,CCbt,DDcwz,23.2
AApqr,BBnqx,CCfnw,DDqz,25.8
AApqr,BBnqx,CChpx,DDcmp,29.37
AApqr,BBnqx,CCbt,DDbmz,30.4
AApqr,BBnqx,CCfnw,DDgv,32.84
AApqr,BBnqx,CChpx,DDdlz,34.03
AAmz,BBgqt,CCbt,DDmx,35.02
AAmz,BBgqt,CCfnw,DDkrs,35.1
AAmz,BBgqt,CChpx,DDlmr,37.74
AAmz,BBgqt,CCbt,DDcwz,41.5
AAmz,BBgqt,CCfnw,DDqz,42.33
AAmz,BBgqt,CChpx,DDcmp,42.3
AAmz,BBgqt,CCbt,DDbmz,45.57
AAmz,BBgqt,CCfnw,DDgv,47.03
AAmz,BBgqt,CChpx,DDdlz,48.86
AApqr,BBbkv,CCbt,DDmx,48.52
AApqr,BBbkv,CCfnw,DDkrs,56.3
AApqr,BBbkv,CChpx,DDlmr,58.17
AApqr,BBbkv,CCbt,DDcwz,60.4
AApqr,BBbkv,CCfnw,DDqz,62.0
AApqr,BBbkv,CChpx,DDcmp,63.38
AApqr,BBbkv,CCbt,DDbmz,64.52
AApqr,BBbkv,CCfnw,DDgv,63.05
AApqr,BBbkv,CChpx,DDdlz,64.78
AAmz,BBcjx,CCbt,DDmx,69.53
AAmz,BBcjx,CCfnw,DDkrs,70.88
AAmz,BBcjx,CChpx,DDlmr,71.28
AAmz,BBcjx,CCbt,DDcwz,72.56
AAmz,BBcjx,CCfnw,DDqz,73.6
AAmz,BBcjx,CChpx,DDcmp,74.85
AAmz,BBcjx,CCbt,DDbmz,70.21
AAmz,BBcjx,CCfnw,DDgv,76.21
AAmz,BBcjx,CChpx,DDdlz,74.28
AApqr,BBbpv,CCbt,DDmx,70.22
AApqr,BBbpv,CCfnw,DDkrs,79.57
AApqr,BBbpv,CChpx,DDlmr,80.18
AApqr,BBbpv,CCbt,DDcwz,82.48
AApqr,BBbpv,CCfnw,DDqz,83.74
AApqr,BBbpv,CChpx,DDcmp,82.42
AApqr,BBbpv,CCbt,DDbmz,87.39
AApqr,BBbpv,CCfnw,DDgv,88.75
AApqr,BBbpv,CChpx,DDdlz,89.04
AAmz,BBhpt,CCbt,DDmx,90.48
AAmz,BBhpt,CCfnw,DDkrs,91.33
AAmz,BBhpt,CChpx,DDlmr,91.12
AAmz,BBhpt,CCbt,DDcwz,91.5
AAmz,BBhpt,CCfnw,DDqz,94.76
AAmz,BBhpt,CChpx,DDcmp,96.02
AAmz,BBhpt,CCbt,DDbmz,96.65
AAmz,BBhpt,CCfnw,DDgv,96.14
AAmz,BBhpt,CChpx,DDdlz,98.36
