CC,DD,AApqr_BBnqx,AApqr_BBbgp,AApqr_BBcjx,AAmz_BBbpv,AAmz_BBdhv,AAmz_BBgqt,AAcy_BBbkv,AAcy_BBhpt,AAcy_BBbsz,Average
CCbt,DDmpy,18.89,-62.00,84.29,93.27,-33.68,38.59,64.96,-84.75,-12.20,11.93
,DDbmz,9.98,-65.49,81.58,92.42,-36.27,33.04,58.36,-91.92,-23.36,6.48
,DDcwz,5.74,-72.87,78.24,92.78,-41.97,27.18,51.60,-94.12,-26.41,2.24
,DDmx,1.42,-75.80,74.15,90.83,-47.42,23.91,45.59,-97.41,-26.38,-1.23
,DDlmr,21.55,-47.16,87.33,-3.03,-29.17,40.06,69.66,-78.11,-4.80,6.26
CCfnw,DDgv,11.05,-64.47,82.47,97.99,-37.34,33.65,62.74,-91.15,-19.30,8.40
,DDcwz,21.59,-47.30,88.83,-9.03,-29.99,42.30,70.43,-77.49,-3.80,6.17
,DDmx,18.01,-51.18,85.38,-3.73,-31.41,39.14,65.34,-82.63,-9.15,3.31
,DDqz,8.83,-71.07,78.34,94.80,-38.32,23.85,52.43,-93.76,-31.93,2.57
,DDkrs,3.02,-75.13,76.71,91.52,-43.97,25.81,46.24,-96.65,-28.37,-0.09
CChpx,DDcmp,9.72,88.42,80.72,86.51,-38.52,29.07,55.07,83.36,-21.93,41.38
,DDqz,23.16,-45.84,80.28,-98.93,-27.20,43.28,73.34,-76.31,-2.26,-3.39
,DDdlz,9.89,89.10,82.88,98.74,-34.40,35.23,63.96,-85.90,-14.28,27.25
,DDkrs,19.11,-48.01,84.15,-0.16,-31.63,39.47,67.27,-82.57,-6.94,4.52
,DDlmr,5.44,-73.10,77.76,85.57,-41.49,23.48,50.17,-96.13,-24.71,0.78
