Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,641.48
AAdk,BBtw,CCst,DDnw,263.65
AAdk,BBtw,CCbx,DDrz,137.0
AAdk,BBtw,CChv,DDcl,656.55
AAdk,BBtw,CCst,DDlp,405.08
AAdk,BBtw,CCbx,DDcs,408.41
AAdk,BBtw,CChv,DDhm,541.1
AAdk,BBtw,CCst,DDdf,37.62
AAdk,BBtw,CCbx,DDnt,293.94
AAdk,BBrv,CChv,DDnt,39.73
AAdk,BBrv,CCst,DDnw,685.3
AAdk,BBrv,CCbx,DDrz,952.5
AAdk,BBrv,CChv,DDcl,445.04
AAdk,BBrv,CCst,DDlp,958.09
AAdk,BBrv,CCbx,DDcs,583.2
AAdk,BBrv,CChv,DDhm,968.3
AAdk,BBrv,CCst,DDdf,458.39
AAdk,BBrv,CCbx,DDnt,331.09
AAdk,BBtw,CChv,DDnt,844.19
AAdk,BBtw,CCst,DDnw,721.22
AAdk,BBtw,CCbx,DDrz,980.06
AAdk,BBtw,CChv,DDcl,471.07
AAdk,BBtw,CCst,DDlp,602.95
AAdk,BBtw,CCbx,DDcs,357.69
AAdk,BBtw,CChv,DDhm,358.14
AAdk,BBtw,CCst,DDdf,620.45
AAdk,BBtw,CCbx,DDnt,766.6
