DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCbt,Average
DDcjx,EEmz,-80.70,-16.93,-96.87,-45.63,-60.03
,EEhq,-84.23,98.58,29.81,-51.57,-1.85
,EEdhv,-87.25,93.92,15.00,67.16,22.21
,EEkqy,33.30,-39.36,7.99,58.90,15.21
,EEqz,-76.27,-6.34,-95.11,-44.74,-55.62
DDmx,EEbhk,-86.86,-31.80,21.20,-59.40,-39.21
,EEbkv,-80.94,-14.86,-98.98,84.55,-27.56
,EEmz,32.06,-42.70,6.43,-76.38,-20.15
,EEksy,-85.07,-21.58,-99.26,78.67,-31.81
,EEqz,-94.10,-41.59,14.17,-65.49,-46.75
DDcy,EEmpy,42.13,-6.76,23.48,70.29,32.29
,EEbkv,37.23,88.11,6.87,-74.39,14.46
,EEcrv,-92.21,-37.82,14.27,-65.51,-45.32
,EEjvz,46.40,-20.37,-98.21,82.44,2.57
,EEkqy,-77.57,-9.89,-96.99,-44.66,-57.28
Average,,-43.61,-0.63,-29.75,-5.72,-19.92
