DD,EE,AApqr_BBnqx_CCprw,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCcqx,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCbpv
DDmx,,16.65,6.06,20.00,11.24,20.29
,  EEqz,16.65,3.56,14.78,9.95,7.23
,  EEbhk,7.62,6.06,20.00,11.24,8.70
,  EEmz,13.74,0.80,19.12,6.37,20.29
DDcy,,17.45,8.63,26.06,11.39,20.34
,  EEcrv,17.45,5.95,23.50,11.39,7.83
,  EEmz,7.97,8.63,26.06,9.05,10.19
,  EEbkv,14.15,1.10,15.30,6.92,20.34
DDcjx,,21.72,7.70,27.70,15.45,24.97
,  EEkqy,15.31,0.86,21.75,12.28,24.97
,  EEbkv,21.72,7.70,27.70,9.67,11.79
,  EEdhv,5.39,6.56,15.46,15.45,8.81
Maximum,,21.72,8.63,27.70,15.45,24.97
,  ,21.72,8.63,27.70,15.45,24.97
