Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,800.81
AAdk,BBtw,CCst,DDnw,705.37
AAdk,BBtw,CChv,DDrz,34.7
AAdk,BBtw,CCst,DDcl,835.87
AAdk,BBtw,CChv,DDlp,293.42
AAdk,BBtw,CCst,DDnt,616.52
AAdk,BBrv,CChv,DDnt,137.55
AAdk,BBrv,CCst,DDnw,298.78
AAdk,BBrv,CChv,DDrz,301.91
AAdk,BBrv,CCst,DDcl,654.17
AAdk,BBrv,CChv,DDlp,751.55
AAdk,BBrv,CCst,DDnt,368.76
AAdk,BBtw,CChv,DDnt,497.57
AAdk,BBtw,CCst,DDnw,788.39
AAdk,BBtw,CChv,DDrz,214.74
AAdk,BBtw,CCst,DDcl,407.69
AAdk,BBtw,CChv,DDlp,153.57
AAdk,BBtw,CCst,DDnt,956.58
