CC,DD,AAmz_BBbpv,AAmz_BBgqt,AAcy_BBbkv,AAcy_BBhpt,AApqr_BBcjx,AApqr_BBbgp,AApqr_BBnqx
CCfnw,DDgv,-66.16,60.35,80.78,-36.58,-87.28,-18.07,18.91
,DDkrs,-78.92,45.70,66.79,-45.89,98.82,-28.26,7.81
,DDknr,-59.97,63.88,91.08,-30.45,-83.60,-3.44,35.74
,DDqz,-70.31,53.85,75.36,-41.73,-93.17,-23.96,7.32
CCbt,DDbmz,-68.58,54.82,77.56,-39.37,-89.22,-22.49,17.64
,DDmpy,-60.33,62.61,85.33,-35.24,-87.12,-12.82,23.00
,DDmx,-79.43,43.81,65.14,-45.47,95.12,-28.48,5.94
,DDcwz,-80.35,52.73,74.07,-42.34,-2.09,-25.37,9.27
CChpx,DDdlz,-68.04,61.93,81.89,-35.06,-86.39,-15.91,20.36
,DDlmr,-77.92,50.51,68.79,-43.14,99.55,-25.85,8.87
,DDcmp,-68.12,54.68,75.56,-44.02,-92.31,-25.89,12.79
,DDmx,-47.59,64.19,93.65,-29.56,-80.10,-2.66,39.80
