DD,EE,AArv_BBst_CCnw,AArv_BBsy_CCnw,AAdk_BBtw_CChv,AAdk_BBrz_CChv,Average
DDpw,,-34.30,-24.51,29.73,-11.21,-10.07
,  EEfh,-81.92,-36.70,4.75,-70.74,-46.15
,  EEdn,56.01,-6.98,44.53,-43.12,12.61
,  EEhr,-76.99,-29.86,39.91,80.22,3.32
DDtv,,-35.20,-26.96,20.90,-59.95,-25.30
,  EEmn,45.56,-41.54,2.40,-70.57,-16.04
,  EEfx,-77.34,-31.32,16.47,-63.55,-38.94
,  EEkz,-73.81,-8.02,43.84,-45.73,-20.93
DDnt,,-81.00,52.26,-23.21,24.76,-6.80
,  EEhl,-74.30,-23.49,-88.10,82.66,-25.81
,  EEdn,-83.74,85.48,2.98,57.95,15.67
,  EElp,-84.97,94.79,15.48,-66.34,-10.26
