CC,DD,AAfnw_BBqz,AAfnw_BBkrs,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp,EE,FF
CCkqy,,71.47,19.28,2.48,45.45,82.33,,
,  DDbsz,76.79,30.75,6.48,52.43,91.41,EEmz,FFgqt
,  DDcwz,71.47,19.28,2.48,45.45,82.33,EEmz,FFgqt
,  DDmx,78.96,39.48,12.52,56.02,98.15,EEmz,FFgqt
CCcy,,70.94,18.65,1.77,44.25,82.78,,
,  DDbkv,70.94,18.65,1.77,44.25,82.78,EEmz,FFgqt
,  DDhlt,78.06,37.34,10.93,56.13,97.01,EEmz,FFgqt
,  DDbmz,72.89,27.83,4.82,49.06,90.58,EEmz,FFgqt
CCbt,,63.66,13.13,0.34,41.08,80.59,,
,  DDmpy,77.86,34.70,9.79,54.17,94.16,EEmz,FFgqt
,  DDhpt,71.26,19.41,2.28,46.29,82.71,EEmz,FFgqt
,  DDmx,63.66,13.13,0.34,41.08,80.59,EEmz,FFgqt
