CC,DD,AAdn_BBrv,AAdn_BBdl,AAdk_BBpw,AAdk_BBtw,AAtv_BBhz,AAtv_BBmn
Average,,-16.32,3.14,-11.71,-3.38,-2.31,40.41
,  ,-16.32,3.14,-11.71,-3.38,-2.31,40.41
CChv,,4.24,2.54,-12.77,-27.00,17.96,17.78
,  DDlp,50.96,93.60,78.63,-95.26,-13.07,-62.94
,  DDrz,46.44,-38.41,-54.70,13.29,99.92,62.18
,  DDnt,-84.67,-47.57,-62.25,0.96,-32.96,54.09
CCst,,-36.89,3.73,-10.65,20.25,-22.58,63.05
,  DDcl,-80.89,-35.23,76.42,22.17,-28.95,64.81
,  DDnt,-75.87,93.22,-49.36,34.06,-8.77,66.78
,  DDnw,46.08,-46.80,-59.02,4.51,-30.03,57.56
