CC,DD,AAmz_BBbpv,AAmz_BBgqt,AApqr_BBcjx,AApqr_BBnqx,AAcy_BBhpt,AAcy_BBbkv,Minimum
CChpx,,67.71,24.95,58.83,4.26,90.45,42.36,4.26
,  DDkrs,83.75,37.19,63.40,21.67,97.78,53.10,21.67
,  DDlmr,67.71,24.95,58.83,4.26,90.45,42.36,4.26
,  DDcmp,78.39,30.24,63.80,13.74,94.61,49.58,13.74
CCbt,,65.70,21.68,57.20,2.74,84.78,40.00,2.74
,  DDbmz,78.77,31.01,64.97,14.43,94.33,50.66,14.43
,  DDmx,65.70,21.68,57.20,2.74,84.78,40.00,2.74
,  DDcwz,71.28,27.58,58.95,6.67,90.67,42.47,6.67
CCfnw,,66.27,21.16,58.62,3.44,85.11,41.02,3.44
,  DDkrs,66.27,21.16,58.62,3.44,85.11,41.02,3.44
,  DDmx,80.79,32.03,65.07,19.39,96.96,51.14,19.39
,  DDqz,76.05,29.15,62.30,12.31,92.03,43.62,12.31
