CC,DD,AAdk_BBrv,AAdk_BBtw,AAdk_BBmn,Average
CCbx,,451.73,375.51,861.59,562.94
,  DDnt,81.12,471.25,996.29,516.22
,  DDrz,439.12,324.08,856.61,539.94
,  DDcs,834.94,331.19,731.86,632.66
CChv,,742.32,475.03,430.28,549.21
,  DDhm,840.54,461.94,350.13,550.87
,  DDcl,437.10,647.78,216.26,433.71
,  DDnt,949.32,315.38,724.46,663.05
CCst,,323.07,563.51,560.11,482.23
,  DDlp,194.30,520.30,729.23,481.28
,  DDnw,438.90,449.32,340.46,409.56
,  DDdf,336.00,720.91,610.63,555.85
Average,,505.70,471.35,617.33,531.46
,  ,505.70,471.35,617.33,531.46
