DD,EE,AAdk_BBrz_CCdt,AAdk_BBhz_CCnw,AAdk_BBtw_CChv,AArv_BBst_CCnw,AArv_BBsy_CChv
DDnt,,-51.81,9.70,-7.50,28.75,29.42
,  EEhl,-46.16,-7.10,41.19,-61.54,98.12
,  EEdn,-56.97,99.83,1.83,54.22,87.02
,  EEfx,-49.63,-22.85,-96.85,63.56,-32.25
,  EEfh,-54.49,-31.08,23.81,58.74,-35.20
DDtv,,47.21,12.61,-30.62,31.91,30.29
,  EEhr,82.61,-9.67,-87.03,64.12,97.80
,  EEmn,74.49,-32.98,13.93,58.76,-40.95
,  EEdn,85.85,-3.14,-80.57,71.49,-29.05
,  EElp,-54.12,96.24,31.17,-66.74,93.35
Average,,-2.30,11.16,-19.06,30.33,29.85
,  ,-2.30,11.16,-19.06,30.33,29.85
