CC,DD,AAmz_BBbpv,AAmz_BBgqt,AApqr_BBnqx,AApqr_BBcjx,AAcy_BBbkv,AAcy_BBhpt
CCbt,DDmx,-48.10,26.74,1.78,-68.65,-87.56,-16.48
,DDcwz,-39.87,29.29,4.04,-63.48,-83.99,-13.26
,DDbmz,-35.77,-94.86,3.52,68.26,54.98,-9.64
,DDkrs,-30.78,-90.29,15.06,-55.46,57.42,-3.64
CChpx,DDlmr,85.46,-98.58,3.21,-65.86,-4.81,-15.61
,DDmx,-31.04,35.57,13.14,68.84,-2.20,-4.87
,DDcwz,-18.03,-89.39,25.99,-52.05,-70.63,-1.73
,DDcmp,91.07,-96.11,6.52,66.51,-75.04,-10.76
CCfnw,DDlmr,-26.35,39.60,20.77,-53.79,58.06,-2.78
,DDqz,91.61,-99.42,4.54,66.63,0.04,-11.34
,DDgv,97.67,35.77,9.57,69.77,-73.12,-8.44
,DDkrs,82.72,29.31,2.75,61.21,41.37,-15.19
Average,,18.22,-31.03,9.24,3.49,-15.46,-9.48
