DD,EE,AAgqt_BBnry_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBlsx_CCcqx,AApqr_BBhpt_CCkrs,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt
Average,,22.99,-42.47,-3.90,57.19,-42.91,-1.15
,  ,22.99,-42.47,-3.90,57.19,-42.91,-1.15
DDmx,,37.75,-26.81,10.31,88.81,-76.19,13.39
,  EEkqy,68.43,-95.56,-21.25,89.67,-78.23,7.92
,  EEbhk,75.77,43.67,-13.45,93.08,-68.97,22.27
,  EEcrv,-59.05,40.78,-20.05,89.31,-75.91,20.40
,  EEmz,65.87,-96.13,96.00,83.19,-81.65,2.96
DDcy,,8.22,-58.13,-18.11,25.57,-9.63,-15.69
,  EEqz,-59.52,-94.55,-20.53,89.06,-77.06,8.01
,  EEdhv,-55.74,-86.53,-17.40,92.61,-73.94,21.38
,  EEbkv,66.08,32.83,-22.22,-44.98,48.71,4.23
,  EEmz,82.06,-84.27,-12.30,-34.43,63.76,-96.37
