CC,DD,AAmz_BBgqt,AAmz_BBbpv,AApqr_BBcjx,AApqr_BBnqx,AAcy_BBhpt,AAcy_BBbkv,Minimum
CChpx,,21.03,75.03,64.19,3.91,92.48,39.48,3.91
,  DDlmr,21.03,75.03,64.19,3.91,92.48,39.48,3.91
,  DDcmp,26.05,84.61,70.59,10.59,95.63,46.36,10.59
,  DDkrs,32.29,89.38,73.80,16.57,97.19,56.86,16.57
CCbt,,15.64,70.99,61.29,0.91,90.09,33.84,0.91
,  DDbmz,27.13,87.96,71.72,14.14,96.14,51.95,14.14
,  DDmx,15.64,74.98,61.29,0.91,90.47,33.84,0.91
,  DDcwz,22.04,70.99,65.06,3.64,90.09,39.62,3.64
CCfnw,,18.26,75.75,64.08,1.11,91.01,36.27,1.11
,  DDkrs,18.26,75.75,64.08,1.11,91.01,36.27,1.11
,  DDmx,30.38,88.39,72.28,15.92,97.65,53.65,15.92
,  DDqz,24.67,79.65,69.16,8.43,92.86,44.50,8.43
