CC,DD,AApqr_BBbpv,AApqr_BBnqx,AApqr_BBbkv,AAmz_BBgqt,AAmz_BBcjx,AAmz_BBhpt
CChpx,,-32.23,-23.62,14.69,-46.27,-54.12,-10.28
,  DDmx,-26.70,-96.43,65.56,-85.02,-49.53,-1.45
,  DDcmp,-33.45,20.48,59.13,-90.38,-55.76,-12.50
,  DDlmr,-36.54,5.08,-80.61,36.60,-57.06,-16.89
CCfnw,,51.19,15.65,-29.52,38.69,30.83,-7.09
,  DDqz,94.32,15.03,-70.71,38.22,73.95,-13.83
,  DDkrs,-37.07,2.52,-82.66,34.63,-58.82,-1.01
,  DDgv,96.33,29.41,64.80,43.21,77.35,-6.42
CCbt,,7.00,12.13,9.70,-4.79,-16.42,-16.18
,  DDmx,-39.52,0.80,46.83,-95.13,-64.97,-25.80
,  DDcwz,92.97,10.90,-79.29,37.08,-56.65,-14.48
,  DDbmz,-32.45,24.68,61.55,43.69,72.37,-8.27
Average,,8.65,1.39,-1.71,-4.12,-13.24,-11.18
,  ,8.65,1.39,-1.71,-4.12,-13.24,-11.18
