CC,DD,AAdk_BBdl,AAdk_BBtw,AAdk_BBmn,AAdn_BBpw,AAdn_BBrv
CCst,,86.21,1.04,52.83,70.52,17.78
,  DDnt,98.29,10.58,65.70,81.66,29.61
,  DDlp,94.10,8.93,55.09,75.17,23.35
,  DDnw,86.21,1.04,52.83,70.52,17.78
CCbx,,89.15,2.07,52.43,71.01,22.42
,  DDrz,89.15,2.07,52.43,71.01,22.42
,  DDcs,96.24,8.78,58.62,76.36,23.47
,  DDnw,96.41,8.73,66.42,83.57,46.15
CChv,,84.32,0.93,48.70,68.21,13.70
,  DDnt,84.32,0.93,48.70,68.21,13.70
,  DDcl,92.60,3.83,54.85,73.15,23.41
,  DDhm,97.51,10.24,61.92,76.82,28.06
Minimum,,84.32,0.93,48.70,68.21,13.70
,  ,84.32,0.93,48.70,68.21,13.70
