Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,645.29
AAdk,BBtw,CCst,DDnw,648.68
AAdk,BBtw,CChv,DDrz,399.47
AAdk,BBtw,CCst,DDcl,400.23
AAdk,BBtw,CChv,DDlp,19.79
AAdk,BBtw,CCst,DDnt,29.71
AAdk,BBrv,CChv,DDnt,934.9
AAdk,BBrv,CCst,DDnw,306.66
AAdk,BBrv,CChv,DDrz,61.82
AAdk,BBrv,CCst,DDcl,192.23
AAdk,BBrv,CChv,DDlp,200.86
AAdk,BBrv,CCst,DDnt,712.78
AAdk,BBmn,CChv,DDnt,848.48
AAdk,BBmn,CCst,DDnw,851.98
AAdk,BBmn,CChv,DDrz,853.56
AAdk,BBmn,CCst,DDcl,87.57
AAdk,BBmn,CChv,DDlp,986.43
AAdk,BBmn,CCst,DDnt,858.82
AAdk,BBtw,CChv,DDnt,876.23
AAdk,BBtw,CCst,DDnw,364.85
AAdk,BBtw,CChv,DDrz,114.53
AAdk,BBtw,CCst,DDcl,884.04
AAdk,BBtw,CChv,DDlp,892.01
AAdk,BBtw,CCst,DDnt,638.54
