DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCbt,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx,Average
DDcy,EEmpy,54.04,-27.59,36.93,85.15,37.13
,EEcrv,-78.13,99.34,33.05,-49.97,1.07
,EEbkv,-83.30,96.50,13.97,-54.25,-6.77
,EEjvz,-60.55,-13.43,-94.35,-37.35,-51.42
DDcjx,EEkqy,-81.55,-31.49,19.51,75.92,-4.40
,EEmz,-58.10,-7.24,40.77,94.57,17.50
,EEhq,-71.72,-18.62,36.88,85.91,8.11
,EEdhv,-77.02,94.39,33.10,-45.41,1.27
DDmx,EEmz,-86.21,95.06,8.84,-58.03,-10.08
,EEksy,-69.61,-18.33,34.37,88.77,8.80
,EEbhk,52.33,-27.84,35.94,84.30,36.18
,EEqz,49.35,95.68,23.27,78.22,61.63
Average,,-42.54,28.04,18.52,28.99,8.25
