DD,EE,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBhpt_CCkrs,AAgqt_BBlsx_CCcqx,AAgqt_BBnry_CCbt,AAgqt_BBfnw_CCkrs
DDcjx,,82.67,21.03,-57.12,-26.02,-83.06,51.21
,  EEdhv,75.57,14.72,-65.92,-31.30,-88.69,46.77
,  EEkqy,80.14,22.93,-54.64,-25.71,-83.50,52.09
,  EEhq,82.51,20.41,-59.18,-29.68,-82.25,50.47
,  EEdfk,92.47,26.05,-48.73,-17.41,-77.80,55.49
DDcy,,79.13,16.42,-57.23,-27.65,-84.52,49.26
,  EEmpy,76.20,17.63,-59.59,-30.20,-82.18,49.41
,  EEjvz,90.06,22.60,-49.50,-19.40,-81.21,51.43
,  EEbkv,79.94,15.61,-56.33,-27.84,-84.69,49.47
,  EEcrv,70.34,9.82,-63.50,-33.17,-89.99,46.75
DDmx,,76.44,15.06,-60.26,-28.93,-87.83,47.85
,  EEmz,77.09,12.74,-60.90,-28.06,-86.86,48.36
,  EEqz,64.35,9.87,-63.20,-36.48,-93.31,45.25
,  EEbhk,75.91,14.76,-60.01,-30.07,-89.51,46.11
,  EEksy,88.39,22.86,-56.92,-21.10,-81.64,51.66
Average,,79.41,17.50,-58.20,-27.53,-85.14,49.44
,  ,79.41,17.50,-58.20,-27.53,-85.14,49.44
