DD,EE,AApqr_BBlmr_CCbt,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCkrs,Average
DDcy,EEmz,-49.72,22.78,60.42,-24.14,2.34
,EEbkv,64.14,1.67,-87.92,-48.16,-17.57
,EEcrv,-57.30,10.34,-80.70,-39.07,-41.68
,EEmpy,76.70,15.19,52.36,95.44,59.92
DDcjx,EEkqy,66.60,5.70,-86.70,85.79,17.85
,EEdhv,-54.84,12.91,48.91,-35.50,-7.13
,EEhq,-51.96,15.94,56.13,-29.80,-2.42
,EEbkv,-49.98,28.17,60.12,-15.21,5.78
DDmx,EEbhk,76.52,12.42,51.77,94.68,58.85
,EEksy,-49.27,19.64,-69.27,-25.81,-31.18
,EEqz,67.72,5.34,-86.59,85.75,18.05
,EEmz,-68.04,-0.55,38.82,80.74,12.74
Average,,-2.45,12.46,-3.55,18.73,6.30
