DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,AAgqt_BBdfv_CCbpv,AApqr_BBgv_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbpv,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCkrs,Average
DDcy,,3.88,65.52,-33.22,2.67,12.49,56.15,7.64,-3.78,13.92
,  EEbkv,57.60,64.39,-81.40,-7.66,1.71,52.01,-81.51,-52.68,-5.94
,  EEmpy,44.83,63.28,-7.74,-82.73,26.49,58.48,53.97,89.73,30.79
,  EEcrv,-90.79,68.90,-10.52,98.41,9.26,57.96,50.46,-48.39,16.91
DDcjx,,-89.02,-17.54,-11.56,12.73,13.67,14.54,-77.28,39.88,-14.32
,  EEdhv,-86.60,-60.26,60.57,-30.97,10.13,-68.97,-77.42,81.78,-21.47
,  EEmz,-86.61,71.36,-77.19,-25.25,27.03,55.14,-74.09,89.55,-2.51
,  EEkqy,-93.86,-63.71,-18.05,94.42,3.84,57.44,-80.34,-51.69,-18.99
DDmx,,-48.56,23.30,-16.66,-8.01,9.48,14.96,3.03,34.48,1.50
,  EEbhk,-85.65,66.59,-8.42,45.08,21.92,61.06,-77.46,82.16,13.16
,  EEqz,-90.30,-61.33,-17.24,-32.74,5.39,57.95,43.77,79.53,-1.87
,  EEmz,30.27,64.64,-24.33,-36.36,1.13,-74.13,42.79,-58.26,-6.78
Average,,-44.57,23.76,-20.48,2.47,11.88,28.55,-22.20,23.53,0.37
,  ,-44.57,23.76,-20.48,2.47,11.88,28.55,-22.20,23.53,0.37
