CC,DD,AApqr_BBcjx,AApqr_BBnqx,AApqr_BBbgp,AAcy_BBbkv,AAcy_BBhpt,AAmz_BBgqt,AAmz_BBbpv
Average,,-6.20,9.13,35.28,-6.45,14.99,-27.62,6.89
,  ,-6.20,9.13,35.28,-6.45,14.99,-27.62,6.89
CCbt,,-65.62,7.35,60.31,-80.82,-2.15,-15.44,77.66
,  DDbmz,-60.80,15.90,-14.43,-70.01,82.03,-94.27,79.12
,  DDcwz,-65.88,7.09,99.40,-83.73,-45.07,29.12,79.99
,  DDmx,-70.17,-0.94,95.97,-88.71,-43.42,18.84,73.87
CCfnw,,22.99,9.19,22.37,8.55,42.40,-56.78,-49.93
,  DDmx,-58.97,16.68,-13.27,-69.84,-36.29,-92.54,-48.44
,  DDkrs,62.84,1.34,97.73,43.61,83.37,18.21,-53.33
,  DDqz,65.11,9.54,-17.35,51.88,80.11,-96.00,-48.01
CChpx,,24.03,10.86,23.15,52.91,4.71,-10.64,-7.05
,  DDcmp,66.65,10.61,-17.83,54.10,90.01,32.73,-47.66
,  DDkrs,70.70,18.97,-11.66,59.70,-33.40,-91.92,79.11
,  DDlmr,-65.27,3.00,98.95,44.94,-42.47,27.26,-52.60
