DD,EE,AAgqt_BBnqx_CCbpv,AAgqt_BBfnw_CCkrs,AAgqt_BBlmr_CCbmz,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCgjm,AApqr_BBfnw_CCprw,AApqr_BBlmr_CCcqx,Maximum
DDcjx,EEkqy,20.43,11.21,16.13,2.47,21.36,11.78,17.02,21.36
,EEbkv,26.25,17.57,18.41,8.71,25.47,5.91,26.71,26.71
,EEdhv,23.02,14.55,26.91,26.76,22.54,13.04,23.05,26.91
DDmx,EEmz,27.80,27.41,15.85,0.53,18.99,25.89,17.76,27.80
,EEqz,25.65,12.95,16.92,3.90,2.39,12.05,19.09,25.65
,EEbhk,26.51,14.09,5.95,6.40,1.41,14.56,23.16,26.51
DDcy,EEmz,25.32,16.47,18.19,3.13,25.33,14.64,24.18,25.33
,EEbkv,19.30,4.38,4.83,1.66,7.36,0.78,19.39,19.39
,EEcrv,22.51,12.40,17.28,4.27,21.15,13.08,16.01,22.51
Maximum,,27.80,27.41,26.91,26.76,25.47,25.89,26.71,27.80
