Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,312.11
AAdk,BBtw,CCst,DDnw,324.97
AAdk,BBtw,CChv,DDrz,165.57
AAdk,BBtw,CCst,DDcl,709.24
AAdk,BBtw,CChv,DDlp,796.81
AAdk,BBtw,CCst,DDnt,38.29
AAdk,BBrv,CChv,DDnt,361.66
AAdk,BBrv,CCst,DDnw,202.63
AAdk,BBrv,CChv,DDrz,842.95
AAdk,BBrv,CCst,DDcl,617.75
AAdk,BBrv,CChv,DDlp,80.3
AAdk,BBrv,CCst,DDnt,177.94
AAdk,BBtw,CChv,DDnt,309.87
AAdk,BBtw,CCst,DDnw,405.85
AAdk,BBtw,CChv,DDrz,728.42
AAdk,BBtw,CCst,DDcl,25.89
AAdk,BBtw,CChv,DDlp,826.62
AAdk,BBtw,CCst,DDnt,700.18
