CC,DD,AApqr_BBlt,AApqr_BBqz,AApqr_BBnqx,AAfnw_BBkrs,AAfnw_BBbgp,AAcqx_BBgv,AAcqx_BBcjx,Minimum,EE,FF
CCbt,,88.42,46.27,0.76,18.01,56.29,69.60,25.40,0.76,,
,  DDmpy,95.13,54.12,14.06,25.93,65.39,85.27,42.83,14.06,EEmz,FFgqt
,  DDmx,88.42,46.27,0.76,18.01,56.29,69.60,25.40,0.76,EEmz,FFgqt
,  DDhpt,92.29,50.41,9.38,24.47,62.99,79.92,36.44,9.38,EEmz,FFgqt
CCcy,,89.92,48.72,6.66,19.89,56.47,75.40,29.84,6.66,,
,  DDmx,97.40,54.44,15.49,27.15,66.28,85.10,43.72,15.49,EEmz,FFgqt
,  DDbkv,89.92,48.72,6.66,19.89,56.47,75.40,29.84,6.66,EEmz,FFgqt
,  DDbmz,93.50,49.93,12.92,25.01,62.88,80.64,36.71,12.92,EEmz,FFgqt
CCkqy,,90.40,48.84,7.14,23.66,60.27,78.76,35.79,7.14,,
,  DDbkv,99.86,56.56,16.68,29.97,68.27,87.93,45.30,16.68,EEmz,FFgqt
,  DDbsz,94.60,50.12,13.41,26.72,64.98,84.63,41.37,13.41,EEmz,FFgqt
,  DDcwz,90.40,48.84,7.14,23.66,60.27,78.76,35.79,7.14,EEmz,FFgqt
