DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CClt,AAgqt_BBfnw_CCprw,AAhpx_BBlmr_CCcqx,AAhpx_BBlmr_CCbmz,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCbpv,Maximum
DDcy,EEmpy,16.03,25.18,26.14,25.05,3.50,20.02,7.42,27.64,27.64
,EEcrv,12.86,23.03,9.64,21.86,14.70,19.15,4.06,25.74,25.74
,EEbkv,10.94,21.26,1.10,19.59,11.45,18.51,1.35,19.46,21.26
DDcjx,EEdhv,13.44,23.73,9.07,14.88,14.57,19.44,5.47,24.49,24.49
,EEmz,17.70,25.69,0.53,26.05,4.95,20.35,7.72,5.73,26.05
,EEkqy,5.99,25.87,8.59,12.61,13.34,18.07,2.14,25.67,25.87
DDmx,EEbhk,15.39,25.25,3.43,24.73,15.86,6.37,4.39,0.52,25.25
,EEmz,8.90,0.82,7.57,15.12,10.14,17.84,0.19,27.39,27.39
,EEqz,12.10,26.37,8.22,21.58,13.73,1.18,3.87,5.91,26.37
Maximum,,17.70,26.37,26.14,26.05,15.86,20.35,7.72,27.64,27.64
