CC,DD,AAdn_BBrv,AAdn_BBpw,AAdk_BBmn,AAdk_BBtw
CChv,,-72.64,8.01,8.87,-41.99
,  DDcl,-76.22,-27.99,71.41,12.93
,  DDnt,-80.02,88.65,-61.04,4.53
,  DDkz,-65.90,-8.55,78.67,-86.50
,  DDhm,-68.43,-20.07,-53.57,-98.93
CCst,,-70.20,11.81,10.02,-4.32
,  DDdf,-67.08,-18.52,-52.31,-90.33
,  DDlp,-71.20,-28.40,72.17,21.73
,  DDnw,-77.93,99.03,-61.18,5.74
,  DDnt,-64.58,-4.87,81.41,45.56
CCbx,,-4.18,-17.58,43.22,-33.77
,  DDjn,61.97,-15.08,-53.84,-89.69
,  DDcs,-69.42,-22.08,71.79,27.42
,  DDnw,-61.35,-3.62,85.09,-80.45
,  DDrz,52.09,-29.53,69.84,7.63
Average,,-49.01,0.75,20.70,-26.70
,  ,-49.01,0.75,20.70,-26.70
