AApqr-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,643.87
AApqr,BBnqx,CCbt,DDcy,EEbkv,11.07
AApqr,BBnqx,CCbt,DDcjx,EEkqy,140.12
AApqr,BBnqx,CCbt,DDmx,EEqz,653.08
AApqr,BBnqx,CCbt,DDcy,EEcrv,16.92
AApqr,BBnqx,CCbt,DDcjx,EEdhv,273.34
AApqr,BBnqx,CCbt,DDmx,EEbhk,145.26
AApqr,BBnqx,CCbt,DDcy,EEmpy,787.33
AApqr,BBnqx,CCbt,DDcjx,EEmz,660.94
AApqr,BBfnw,CCbt,DDmx,EEmz,917.04
AApqr,BBfnw,CCbt,DDcy,EEbkv,791.88
AApqr,BBfnw,CCbt,DDcjx,EEkqy,791.36
AApqr,BBfnw,CCbt,DDmx,EEqz,537.39
AApqr,BBfnw,CCbt,DDcy,EEcrv,414.99
AApqr,BBfnw,CCbt,DDcjx,EEdhv,801.4
AApqr,BBfnw,CCbt,DDmx,EEbhk,162.36
AApqr,BBfnw,CCbt,DDcy,EEmpy,936.25
AApqr,BBfnw,CCbt,DDcjx,EEmz,297.64
AApqr,BBlmr,CCbt,DDmx,EEmz,43.06
AApqr,BBlmr,CCbt,DDcy,EEbkv,683.5
AApqr,BBlmr,CCbt,DDcjx,EEkqy,945.39
AApqr,BBlmr,CCbt,DDmx,EEqz,52.83
AApqr,BBlmr,CCbt,DDcy,EEcrv,313.34
AApqr,BBlmr,CCbt,DDcjx,EEdhv,316.03
AApqr,BBlmr,CCbt,DDmx,EEbhk,448.87
AApqr,BBlmr,CCbt,DDcy,EEmpy,451.74
AApqr,BBlmr,CCbt,DDcjx,EEmz,67.96
AApqr,BBnqx,CCbt,DDmx,EEmz,198.28
AApqr,BBnqx,CCbt,DDcy,EEbkv,327.44
AApqr,BBnqx,CCbt,DDcjx,EEkqy,200.97
AApqr,BBnqx,CCbt,DDmx,EEqz,592.47
AApqr,BBnqx,CCbt,DDcy,EEcrv,464.13
AApqr,BBnqx,CCbt,DDcjx,EEdhv,83.66
AApqr,BBnqx,CCbt,DDmx,EEbhk,600.04
AApqr,BBnqx,CCbt,DDcy,EEmpy,859.31
AApqr,BBnqx,CCbt,DDcjx,EEmz,735.57
AApqr,BBfnw,CCbt,DDmx,EEmz,103.63
AApqr,BBfnw,CCbt,DDcy,EEbkv,615.1
AApqr,BBfnw,CCbt,DDcjx,EEkqy,237.58
AApqr,BBfnw,CCbt,DDmx,EEqz,370.75
AApqr,BBfnw,CCbt,DDcy,EEcrv,887.87
AApqr,BBfnw,CCbt,DDcjx,EEdhv,760.76
AApqr,BBfnw,CCbt,DDmx,EEbhk,508.73
AApqr,BBfnw,CCbt,DDcy,EEmpy,638.68
AApqr,BBfnw,CCbt,DDcjx,EEmz,767.34
