Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,899.27
AAdk,BBtw,CCst,DDnw,525.68
AAdk,BBtw,CChv,DDrz,14.26
AAdk,BBtw,CCst,DDcl,909.9
AAdk,BBtw,CChv,DDlp,401.37
AAdk,BBtw,CCst,DDcs,305.82
AAdk,BBrv,CChv,DDnt,948.97
AAdk,BBrv,CCst,DDnw,314.77
AAdk,BBrv,CChv,DDrz,445.67
AAdk,BBrv,CCst,DDcl,705.83
AAdk,BBrv,CChv,DDlp,577.0
AAdk,BBrv,CCst,DDcs,197.24
AAdk,BBmn,CChv,DDnt,197.25
AAdk,BBmn,CCst,DDnw,845.84
AAdk,BBmn,CChv,DDrz,984.87
AAdk,BBmn,CCst,DDcl,988.66
AAdk,BBmn,CChv,DDlp,866.65
AAdk,BBmn,CCst,DDcs,357.23
AAdk,BBtw,CChv,DDnt,358.92
AAdk,BBtw,CCst,DDnw,872.93
AAdk,BBtw,CChv,DDrz,887.52
AAdk,BBtw,CCst,DDcl,633.75
AAdk,BBtw,CChv,DDlp,634.6
AAdk,BBtw,CCst,DDcs,252.84
