DD,EE,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCbpv,AAhpx_BBlmr_CCbmz,AAhpx_BBlmr_CCcqx,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CClt,AAgqt_BBfnw_CCprw
DDmx,EEbhk,18.06,6.89,24.02,15.10,24.32,15.16,23.17,12.06
,EEqz,17.88,3.74,23.05,14.38,21.95,8.70,21.86,8.33
,EEmz,16.76,0.31,27.69,13.80,14.18,9.43,20.56,24.91
DDcjx,EEdhv,4.24,5.74,23.19,14.11,20.41,13.17,23.03,10.27
,EEbkv,19.76,8.87,27.01,16.61,26.97,13.54,24.66,13.23
,EEkqy,17.24,2.75,25.60,14.22,20.93,11.16,20.23,8.99
DDcy,EEcrv,17.76,2.19,6.00,14.04,19.29,13.31,22.25,9.91
,EEmz,18.84,7.44,6.41,16.49,25.96,15.93,23.50,0.16
,EEbkv,17.85,0.98,21.26,13.57,19.67,7.49,20.62,8.28
Maximum,,19.76,8.87,27.69,16.61,26.97,15.93,24.66,24.91
