DD,EE,AAhpx_BBbwx_CCbt,AAhpx_BBlmr_CCbt,AAhpx_BBlsx_CCkrs,AAgqt_BBhpt_CCbt,AAgqt_BBdfv_CCkrs,AAgqt_BBfnw_CCkrs,AApqr_BBgv_CCbt,AApqr_BBnry_CCkrs,AApqr_BBnqx_CCbt
DDmx,EEqz,-18.41,56.79,-81.07,92.63,-48.39,17.45,-64.35,74.35,4.81
,EEbhk,-15.77,59.21,-78.63,94.17,-44.37,36.02,-62.26,81.72,8.80
,EEmz,-18.00,58.17,-79.69,-6.00,-47.13,20.29,-62.84,76.73,7.14
DDcjx,EEhq,-10.75,65.87,-75.69,-0.32,-41.03,41.55,-62.39,83.00,12.72
,EEkqy,-9.64,59.56,-76.72,1.10,-41.63,33.12,-61.29,79.16,10.15
,EEdhv,-15.38,59.11,-83.12,95.49,-45.98,31.14,-62.33,77.50,7.68
DDcy,EEbkv,-13.74,58.39,-78.19,-1.85,-45.80,32.16,-64.66,77.81,8.80
,EEmpy,-12.58,64.04,-75.35,97.27,-44.21,38.38,-60.38,82.80,12.71
,EEcrv,-15.49,57.88,-80.83,94.14,-47.55,31.43,-64.11,75.99,5.80
Average,,-14.42,59.89,-78.81,51.85,-45.12,31.28,-62.73,78.79,8.74
