CC,DD,AAmz_BBhpt,AAmz_BBgqt,AAmz_BBcjx,AApqr_BBbkv,AApqr_BBnqx,AApqr_BBbpv,Average
CCbt,,-14.02,3.31,7.38,16.14,5.69,43.51,10.33
,  DDmx,-23.63,-79.04,-50.55,-71.77,13.53,-34.16,-40.94
,  DDkrs,-5.46,60.01,-35.82,76.69,46.30,95.92,39.61
,  DDbmz,-8.90,-75.08,87.10,73.39,-91.05,-33.20,-7.96
,  DDqz,-11.48,55.74,-42.61,65.37,32.30,94.41,32.29
,  DDlmr,-20.65,54.93,78.79,-62.99,27.35,94.60,28.67
CCfnw,,-8.68,-21.09,60.49,-32.30,-16.64,-3.49,-3.62
,  DDmx,-7.27,-69.21,89.27,-54.78,-90.22,-26.16,-26.39
,  DDcwz,-17.83,-73.81,84.13,-62.32,32.04,-34.80,-12.10
,  DDkrs,-4.32,-75.20,76.21,-63.93,18.00,-32.18,-13.57
,  DDcmp,-9.56,54.23,87.53,-57.33,36.51,99.58,35.16
,  DDlmr,-4.41,58.54,-34.67,76.85,-79.54,-23.90,-1.19
