CC,DD,AApqr_BBcjx,AApqr_BBnqx,AApqr_BBbgp,AAfnw_BBqz,AAfnw_BBkrs,EE,FF
Minimum,,52.98,7.87,90.40,78.68,25.38,,
,  ,52.98,7.87,90.40,78.68,25.38,,
CCcy,,53.35,8.22,90.52,81.06,26.88,,
,  DDbkv,53.35,8.22,90.52,81.75,26.88,EEmz,FFgqt
,  DDbmz,70.93,12.19,94.77,81.06,32.69,EEmz,FFgqt
,  DDhlt,71.20,23.20,97.77,87.01,47.29,EEmz,FFgqt
CCbt,,52.98,7.87,90.40,78.68,25.38,,
,  DDhpt,61.64,12.00,93.55,81.56,31.98,EEmz,FFgqt
,  DDmpy,70.83,16.98,96.02,86.41,41.33,EEmz,FFgqt
,  DDmx,52.98,7.87,90.40,78.68,25.38,EEmz,FFgqt
CCkqy,,56.37,10.44,92.00,81.94,26.17,,
,  DDbsz,71.59,12.85,95.18,85.49,34.90,EEmz,FFgqt
,  DDcwz,56.37,10.44,92.00,81.94,26.17,EEmz,FFgqt
,  DDmx,77.46,24.17,98.66,89.21,48.99,EEmz,FFgqt
