DD,EE,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx,AApqr_BBnry_CCbt,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCkrs
DDcy,EEbkv,70.89,-18.36,7.02,19.14,41.98,-54.80
,EEcrv,71.62,-26.95,97.70,9.15,41.01,-65.30
,EEjvz,79.54,-4.25,-84.94,27.22,48.87,-48.91
,EEmpy,76.88,-21.92,-94.46,20.79,45.44,-54.37
DDcjx,EEdfk,77.47,-17.96,-82.31,28.15,49.82,-46.32
,EEhq,77.88,-19.82,-94.99,20.77,46.80,-50.28
,EEkqy,76.29,-15.46,8.80,20.11,43.82,-51.70
,EEdhv,72.77,-23.54,96.48,13.29,42.37,-63.71
DDmx,EEmz,68.59,-23.24,5.62,18.09,40.95,-59.95
,EEksy,77.64,-20.68,-86.12,25.63,47.96,-49.76
,EEbhk,72.37,-21.63,-97.00,15.26,44.24,-60.01
,EEqz,65.09,-28.88,97.00,9.63,31.13,-69.35
