CC,DD,AAmz_BBbpv,AAmz_BBgqt,AApqr_BBnqx,AApqr_BBbgp,AApqr_BBcjx,AAcy_BBhpt,AAcy_BBbkv,Minimum
CChpx,DDlmr,59.83,11.91,4.58,87.55,47.87,73.41,28.69,4.58
,DDdlz,70.70,20.20,8.24,98.43,56.45,79.30,36.67,8.24
,DDcmp,66.36,16.19,8.81,5.30,53.61,76.03,33.58,5.30
CCfnw,DDqz,64.99,16.68,7.22,90.23,52.82,73.80,33.06,7.22
,DDgv,69.12,19.99,8.02,96.82,52.07,78.73,37.60,8.02
,DDkrs,58.43,12.21,4.86,85.72,46.31,72.15,21.08,4.86
CCbt,DDbmz,68.48,16.62,9.32,95.78,53.76,77.56,36.16,9.32
,DDcwz,53.00,15.93,3.63,88.34,51.27,74.46,29.42,3.63
,DDmx,57.15,12.95,3.52,84.90,41.83,70.50,19.87,3.52
Minimum,,53.00,11.91,3.52,5.30,41.83,70.50,19.87,3.52
