CC,DD,AAcy_BBhpt,AAcy_BBbkv,AApqr_BBcjx,AApqr_BBnqx,AApqr_BBbgp,AAmz_BBbpv,AAmz_BBgqt,Average
CCfnw,DDkrs,-31.09,86.92,-54.17,18.02,-13.57,-56.34,55.20,0.71
,DDgv,-30.63,90.41,-93.11,21.02,-14.31,-59.97,49.55,-5.29
,DDknr,-27.96,94.33,-89.44,25.94,-10.04,-43.56,59.89,1.31
,DDqz,-34.80,83.24,-95.86,10.82,-20.19,-62.03,41.54,-11.04
CCbt,DDmpy,-28.26,92.01,-91.47,24.66,-11.44,-50.67,56.77,-1.20
,DDmx,-32.38,85.56,7.35,16.02,-14.26,-58.00,51.22,7.93
,DDcwz,-34.52,78.78,-35.10,5.82,-21.92,-63.75,41.46,-4.18
,DDbmz,-37.19,85.35,-95.07,14.25,-21.12,-60.09,48.71,-9.31
CChpx,DDdlz,-33.34,92.32,-93.67,22.95,-12.74,-51.82,53.95,-3.19
,DDlmr,-29.53,87.47,-55.59,20.65,-12.45,-56.29,55.49,1.39
,DDcmp,-32.87,83.89,-94.99,11.83,-19.58,-63.17,46.57,-9.76
,DDqtw,-26.92,95.18,-92.96,29.54,-7.08,-42.84,61.91,2.40
