DD,EE,AAgqt_BBfnw_CCbpv,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCprw
Maximum,,27.44,17.77,26.22,7.88,21.35
,  ,27.44,17.77,26.22,7.88,21.35
DDcjx,,20.81,17.77,26.22,7.88,14.01
,  EEbkv,4.27,17.77,26.22,7.88,0.49
,  EEkqy,20.81,11.73,19.67,1.57,14.01
,  EEdhv,9.85,10.90,23.68,5.02,3.01
DDmx,,27.44,14.94,23.14,6.69,21.35
,  EEmz,27.44,9.80,18.32,0.00,0.23
,  EEqz,27.24,11.22,21.45,2.92,18.77
,  EEbhk,9.16,14.94,23.14,6.69,21.35
DDcy,,24.99,16.74,25.68,6.76,19.99
,  EEbkv,24.99,10.81,18.38,1.81,14.14
,  EEmz,11.30,16.74,25.68,6.76,2.31
,  EEcrv,8.01,13.80,22.13,4.98,19.99
