CC,DD,AApqr_BBqz,AApqr_BBnqx,AAfnw_BBbgp,AAfnw_BBkrs,AAcqx_BBcjx,AAcqx_BBgv,EE,FF
CCcy,,58.89,1.73,80.94,24.08,41.41,93.44,,
,  DDhlt,75.60,13.81,88.46,29.09,55.29,93.44,EEmz,FFgqt
,  DDbmz,63.07,7.72,84.90,28.95,46.80,96.53,EEmz,FFgqt
,  DDbkv,58.89,1.73,80.94,24.08,41.41,94.44,EEmz,FFgqt
CCkqy,,61.36,0.63,81.30,25.69,43.07,95.58,,
,  DDbsz,72.97,7.34,86.86,30.91,48.80,95.85,EEmz,FFgqt
,  DDmx,77.51,17.53,88.40,34.06,56.96,95.70,EEmz,FFgqt
,  DDcwz,61.36,0.63,81.30,25.69,43.07,95.58,EEmz,FFgqt
CCbt,,57.46,0.47,79.29,18.10,35.79,93.08,,
,  DDmx,57.46,0.47,79.29,18.10,35.79,93.08,EEmz,FFgqt
,  DDhpt,62.47,4.16,83.18,28.80,44.24,96.00,EEmz,FFgqt
,  DDmpy,74.23,12.33,88.66,30.26,52.37,99.06,EEmz,FFgqt
