Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,256.34
AAdk,BBtw,CCst,DDnw,390.01
AAdk,BBtw,CChv,DDrz,391.21
AAdk,BBtw,CCst,DDcl,904.44
AAdk,BBtw,CChv,DDlp,652.49
AAdk,BBtw,CCst,DDnt,655.46
AAdk,BBrv,CChv,DDnt,143.65
AAdk,BBrv,CCst,DDnw,553.4
AAdk,BBrv,CChv,DDrz,941.09
AAdk,BBrv,CCst,DDcl,301.93
AAdk,BBrv,CChv,DDlp,815.94
AAdk,BBrv,CCst,DDnt,173.02
AAdk,BBmn,CChv,DDnt,831.5
AAdk,BBmn,CCst,DDnw,705.64
AAdk,BBmn,CChv,DDrz,961.55
AAdk,BBmn,CCst,DDcl,582.41
AAdk,BBmn,CChv,DDlp,70.67
AAdk,BBmn,CCst,DDnt,79.38
AAdk,BBtw,CChv,DDnt,976.3
AAdk,BBtw,CCst,DDnw,95.22
AAdk,BBtw,CChv,DDrz,866.87
AAdk,BBtw,CCst,DDcl,242.99
AAdk,BBtw,CChv,DDlp,886.54
AAdk,BBtw,CCst,DDnt,124.26
