AA,BB,CC,DD,EE,FF,Value
AA,BB,CC,DD,EE,FF,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,FFgqt,4.96
AApqr,BBnqx,CCcy,DDbkv,EEhpx,FFlmr,9.28
AApqr,BBnqx,CCkqy,DDcwz,EEmz,FFbpv,9.61
AApqr,BBnqx,CCbt,DDhpt,EEhpx,FFgqt,11.78
AApqr,BBnqx,CCcy,DDbmz,EEmz,FFlmr,10.58
AApqr,BBnqx,CCkqy,DDbsz,EEhpx,FFbpv,13.38
AApqr,BBnqx,CCbt,DDmpy,EEmz,FFgqt,17.97
AApqr,BBnqx,CCcy,DDhlt,EEhpx,FFlmr,23.49
AApqr,BBnqx,CCkqy,DDmx,EEmz,FFbpv,29.14
AAfnw,BBkrs,CCbt,DDmx,EEmz,FFgqt,31.14
AAfnw,BBkrs,CCcy,DDbkv,EEhpx,FFlmr,32.45
AAfnw,BBkrs,CCkqy,DDcwz,EEmz,FFbpv,38.4
AAfnw,BBkrs,CCbt,DDhpt,EEhpx,FFgqt,39.13
AAfnw,BBkrs,CCcy,DDbmz,EEmz,FFlmr,42.24
AAfnw,BBkrs,CCkqy,DDbsz,EEhpx,FFbpv,48.97
AAfnw,BBkrs,CCbt,DDmpy,EEmz,FFgqt,48.23
AAfnw,BBkrs,CCcy,DDhlt,EEhpx,FFlmr,52.12
AAfnw,BBkrs,CCkqy,DDmx,EEmz,FFbpv,57.06
AApqr,BBcjx,CCbt,DDmx,EEmz,FFgqt,57.47
AApqr,BBcjx,CCcy,DDbkv,EEhpx,FFlmr,59.97
AApqr,BBcjx,CCkqy,DDcwz,EEmz,FFbpv,63.32
AApqr,BBcjx,CCbt,DDhpt,EEhpx,FFgqt,64.97
AApqr,BBcjx,CCcy,DDbmz,EEmz,FFlmr,68.77
AApqr,BBcjx,CCkqy,DDbsz,EEhpx,FFbpv,68.62
AApqr,BBcjx,CCbt,DDmpy,EEmz,FFgqt,72.91
AApqr,BBcjx,CCcy,DDhlt,EEhpx,FFlmr,74.61
AApqr,BBcjx,CCkqy,DDmx,EEmz,FFbpv,75.45
AAfnw,BBqz,CCbt,DDmx,EEmz,FFgqt,80.69
AAfnw,BBqz,CCcy,DDbkv,EEhpx,FFlmr,89.47
AAfnw,BBqz,CCkqy,DDcwz,EEmz,FFbpv,90.69
AAfnw,BBqz,CCbt,DDhpt,EEhpx,FFgqt,91.47
AAfnw,BBqz,CCcy,DDbmz,EEmz,FFlmr,92.56
AAfnw,BBqz,CCkqy,DDbsz,EEhpx,FFbpv,93.87
AAfnw,BBqz,CCbt,DDmpy,EEmz,FFgqt,96.61
AAfnw,BBqz,CCcy,DDhlt,EEhpx,FFlmr,96.69
AAfnw,BBqz,CCkqy,DDmx,EEmz,FFbpv,97.04
