CC,DD,AApqr_BBnqx,AApqr_BBqz,AAfnw_BBbgp,AAfnw_BBkrs,AAcqx_BBcjx,AAcqx_BBgv,Minimum,EE,FF
CCkqy,,7.52,54.53,71.28,22.84,41.39,91.32,7.52,,
,  DDmx,20.36,70.88,81.60,36.78,50.56,99.58,20.36,EEmz,FFbpv
,  DDbsz,13.72,67.71,77.24,27.18,45.67,96.47,13.72,EEhpx,FFbpv
,  DDcwz,7.52,54.53,71.28,22.84,41.39,91.32,7.52,EEmz,FFbpv
CCcy,,1.42,53.37,72.90,22.12,40.55,89.17,1.42,,
,  DDbmz,10.82,58.35,75.86,23.09,46.01,93.55,10.82,EEmz,FFlmr
,  DDhlt,19.90,69.82,77.74,35.15,47.09,99.48,19.90,EEhpx,FFlmr
,  DDbkv,1.42,53.37,72.90,22.12,40.55,89.17,1.42,EEhpx,FFlmr
CCbt,,1.30,51.77,70.53,20.69,38.42,83.07,1.30,,
,  DDmx,1.30,51.77,70.53,20.69,38.42,83.07,1.30,EEmz,FFgqt
,  DDmpy,17.09,68.93,78.15,31.31,48.20,97.29,17.09,EEmz,FFgqt
,  DDhpt,8.76,54.92,73.75,24.30,45.78,93.25,8.76,EEhpx,FFgqt
