AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,896.93
AAdk,BBtw,CChv,DDtv,EEmn,387.49
AAdk,BBtw,CChv,DDnt,EEfh,132.69
AAdk,BBtw,CChv,DDtv,EElp,270.46
AAdk,BBtw,CChv,DDnt,EEfx,527.24
AAdk,BBtw,CChv,DDtv,EEhr,913.65
AAdk,BBst,CChv,DDnt,EEdn,786.37
AAdk,BBst,CChv,DDtv,EEmn,23.29
AAdk,BBst,CChv,DDnt,EEfh,412.08
AAdk,BBst,CChv,DDtv,EElp,413.82
AAdk,BBst,CChv,DDnt,EEfx,36.99
AAdk,BBst,CChv,DDtv,EEhr,677.52
AAdk,BBtw,CChv,DDnt,EEdn,165.43
AAdk,BBtw,CChv,DDtv,EEmn,174.37
AAdk,BBtw,CChv,DDnt,EEfh,696.36
AAdk,BBtw,CChv,DDtv,EElp,322.27
AAdk,BBtw,CChv,DDnt,EEfx,215.94
AAdk,BBtw,CChv,DDtv,EEhr,346.3
AAdk,BBst,CChv,DDnt,EEdn,603.46
AAdk,BBst,CChv,DDtv,EEmn,91.17
AAdk,BBst,CChv,DDnt,EEfh,485.36
AAdk,BBst,CChv,DDtv,EElp,747.15
AAdk,BBst,CChv,DDnt,EEfx,366.39
AAdk,BBst,CChv,DDtv,EEhr,123.81
