CC,DD,AAmz_BBcjx,AAmz_BBgqt,AApqr_BBbkv,AApqr_BBnqx
CCbt,,25.76,-2.59,-12.06,-28.24
,  DDmpy,-19.52,52.54,65.76,-93.25
,  DDbmz,100.00,48.43,-62.43,24.17
,  DDmx,-39.85,-87.30,-70.84,1.93
,  DDlmr,-9.22,-71.71,75.81,-91.50
,  DDcwz,97.38,45.07,-68.58,17.44
CChpx,,31.50,-27.46,-34.46,-21.97
,  DDqz,-1.81,-70.51,-45.08,-88.19
,  DDdlz,-21.44,-77.70,-60.52,-96.45
,  DDlmr,96.87,38.27,-66.08,13.41
,  DDcmp,99.06,47.32,-63.62,23.56
,  DDkrs,-15.16,-74.69,63.00,37.80
CCfnw,,-22.77,48.49,-60.72,2.16
,  DDqz,-32.02,46.99,-64.23,22.13
,  DDmx,-16.38,52.00,-60.78,-92.60
,  DDcwz,-4.80,58.23,-47.93,39.02
,  DDkrs,-36.71,38.20,-67.85,10.41
,  DDgv,-23.95,47.05,-62.81,31.84
Average,,11.50,6.15,-35.75,-16.02
,  ,11.50,6.15,-35.75,-16.02
