DD,EE,AAgqt_BBnry_CCkrs,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCbt,AApqr_BBhpt_CCbt,Average
DDcy,EEqz,-53.49,37.85,16.83,51.22,-33.43,3.80
,EEbkv,-59.54,-97.15,3.32,-81.22,91.38,-28.64
,EEkqy,-40.16,42.41,31.77,-61.70,-3.87,-6.31
,EEmz,84.40,42.88,28.71,61.27,-23.30,38.79
,EEdhv,-50.26,40.02,23.88,-71.43,96.51,7.74
DDmx,EEbhk,80.78,41.99,26.93,57.32,-29.87,35.43
,EEcrv,-50.46,39.25,22.75,-75.50,96.03,6.41
,EEbkv,-43.98,-86.65,-97.54,64.74,-21.13,-36.91
,EEkqy,-57.06,37.35,9.41,-77.75,-37.07,-25.02
,EEmz,-59.58,33.28,2.26,46.61,-37.33,-2.95
Average,,-24.93,13.12,6.83,-8.64,9.79,-0.77
