DD,EE,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbpv,Average
DDmx,,-10.25,-27.20,-24.71,-8.96,15.88,8.00,-7.87
,  EEqz,50.00,-29.45,-91.61,-42.53,18.96,-61.02,-25.94
,  EEbkv,59.97,-21.81,-81.71,-36.89,24.21,80.67,4.07
,  EEmz,-78.94,-31.63,29.78,83.23,-0.52,-64.17,-10.37
,  EEbhk,-72.01,-25.90,44.68,-39.65,20.89,76.53,0.76
DDcy,,23.64,8.19,-22.79,21.85,-13.97,8.53,4.24
,  EEcrv,54.78,-26.70,-89.33,81.23,18.47,-61.65,-3.87
,  EEkqy,60.93,-16.08,48.16,-39.53,-99.62,81.67,5.92
,  EEbkv,50.04,99.46,-94.02,84.62,2.86,65.14,34.68
,  EEmpy,-71.17,-23.93,44.05,-38.94,22.42,-51.03,-19.77
DDcjx,,-71.52,-24.25,-54.23,-39.65,19.16,10.53,-26.66
,  EEdhv,-73.16,-25.17,-87.67,-41.66,20.51,73.03,-22.35
,  EEkqy,-76.64,-28.80,35.00,-45.73,3.39,-63.75,-29.42
,  EEqz,-65.96,-13.13,-81.68,-32.04,29.48,-46.32,-34.94
,  EEmz,-70.32,-29.90,-82.55,-39.16,23.25,79.14,-19.92
