Import-AApqr,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,128.21
AApqr,BBnqx,CCbt,DDcy,EEbkv,514.48
AApqr,BBnqx,CCbt,DDcjx,EEkqy,139.2
AApqr,BBnqx,CCbt,DDmx,EEqz,652.61
AApqr,BBnqx,CCbt,DDcy,EEcrv,525.04
AApqr,BBnqx,CCbt,DDcjx,EEdhv,526.68
AApqr,BBnqx,CCbt,DDmx,EEbhk,911.46
AApqr,BBnqx,CCbt,DDcy,EEmz,524.49
AApqr,BBnqx,CCbt,DDcjx,EEbkv,145.98
AApqr,BBfnw,CCbt,DDmx,EEmz,914.46
AApqr,BBfnw,CCbt,DDcy,EEbkv,403.7
AApqr,BBfnw,CCbt,DDcjx,EEkqy,17.42
AApqr,BBfnw,CCbt,DDmx,EEqz,405.06
AApqr,BBfnw,CCbt,DDcy,EEcrv,21.6
AApqr,BBfnw,CCbt,DDcjx,EEdhv,666.02
AApqr,BBfnw,CCbt,DDmx,EEbhk,31.34
AApqr,BBfnw,CCbt,DDcy,EEmz,166.19
AApqr,BBfnw,CCbt,DDcjx,EEbkv,935.52
AApqr,BBlmr,CCbt,DDmx,EEmz,558.58
AApqr,BBlmr,CCbt,DDcy,EEbkv,307.15
AApqr,BBlmr,CCbt,DDcjx,EEkqy,182.92
AApqr,BBlmr,CCbt,DDmx,EEqz,822.16
AApqr,BBlmr,CCbt,DDcy,EEcrv,313.49
AApqr,BBlmr,CCbt,DDcjx,EEdhv,571.32
AApqr,BBlmr,CCbt,DDmx,EEbhk,573.79
AApqr,BBlmr,CCbt,DDcy,EEmz,961.97
AApqr,BBlmr,CCbt,DDcjx,EEbkv,581.09
AApqr,BBnqx,CCbt,DDmx,EEmz,714.07
AApqr,BBnqx,CCbt,DDcy,EEbkv,458.18
AApqr,BBnqx,CCbt,DDcjx,EEkqy,587.0
AApqr,BBnqx,CCbt,DDmx,EEqz,594.65
AApqr,BBnqx,CCbt,DDcy,EEcrv,82.58
AApqr,BBnqx,CCbt,DDcjx,EEdhv,596.23
AApqr,BBnqx,CCbt,DDmx,EEbhk,599.32
AApqr,BBnqx,CCbt,DDcy,EEmz,91.06
AApqr,BBnqx,CCbt,DDcjx,EEbkv,990.26
AApqr,BBfnw,CCbt,DDmx,EEmz,866.96
AApqr,BBfnw,CCbt,DDcy,EEbkv,740.65
AApqr,BBfnw,CCbt,DDcjx,EEkqy,870.66
AApqr,BBfnw,CCbt,DDmx,EEqz,748.46
AApqr,BBfnw,CCbt,DDcy,EEcrv,367.55
AApqr,BBfnw,CCbt,DDcjx,EEdhv,500.81
AApqr,BBfnw,CCbt,DDmx,EEbhk,635.78
AApqr,BBfnw,CCbt,DDcy,EEmz,893.93
AApqr,BBfnw,CCbt,DDcjx,EEbkv,127.84
