CC,DD,AAmz_BBgqt,AAmz_BBcjx,AApqr_BBnqx,AApqr_BBbkv,AApqr_BBbpv,Average
CCbt,DDcwz,48.44,-49.96,19.83,-64.13,93.00,9.44
,DDbmz,-73.46,81.09,29.57,67.28,-20.80,16.74
,DDmpy,54.89,-45.34,-92.97,-57.80,-7.66,-29.78
,DDmx,-86.76,-59.13,9.22,-69.88,-8.88,-43.09
CChpx,DDlmr,47.81,-50.49,17.78,63.67,-37.06,8.34
,DDdlz,-71.83,84.09,-92.90,70.82,-8.07,-3.58
,DDcmp,54.14,79.00,25.88,-71.69,-33.81,10.70
,DDmx,-72.38,88.05,40.40,-59.79,-2.93,-1.33
CCfnw,DDknr,57.78,83.04,39.94,70.62,-5.29,49.22
,DDkrs,47.08,-53.72,15.21,-66.91,91.72,6.68
,DDqz,52.46,-48.97,55.90,56.60,94.93,42.18
,DDgv,-72.79,-45.08,35.71,69.15,-10.08,-4.62
Average,,-1.22,5.22,8.63,0.66,12.09,5.08
