AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,386.49
AAdk,BBtw,CCst,DDnw,780.46
AAdk,BBtw,CCbx,DDrz,912.38
AAdk,BBtw,CChv,DDcl,784.06
AAdk,BBtw,CCst,DDlp,917.96
AAdk,BBtw,CCbx,DDcs,151.31
AAdk,BBtw,CChv,DDhm,792.89
AAdk,BBtw,CCst,DDdf,921.44
AAdk,BBtw,CCbx,DDnt,672.39
AAdk,BBrv,CChv,DDnt,549.51
AAdk,BBrv,CCst,DDnw,427.62
AAdk,BBrv,CCbx,DDrz,945.32
AAdk,BBrv,CChv,DDcl,566.12
AAdk,BBrv,CCst,DDlp,568.96
AAdk,BBrv,CCbx,DDcs,318.48
AAdk,BBrv,CChv,DDhm,62.29
AAdk,BBrv,CCst,DDdf,320.78
AAdk,BBrv,CCbx,DDnt,321.64
AAdk,BBmn,CChv,DDnt,193.59
AAdk,BBmn,CCst,DDnw,833.0
AAdk,BBmn,CCbx,DDrz,203.91
AAdk,BBmn,CChv,DDcl,844.18
AAdk,BBmn,CCst,DDlp,973.42
AAdk,BBmn,CCbx,DDcs,720.04
AAdk,BBmn,CChv,DDhm,720.23
AAdk,BBmn,CCst,DDdf,86.97
AAdk,BBmn,CCbx,DDnt,983.28
AAdk,BBtw,CChv,DDnt,472.36
AAdk,BBtw,CCst,DDnw,345.57
AAdk,BBtw,CCbx,DDrz,987.47
AAdk,BBtw,CChv,DDcl,610.31
AAdk,BBtw,CCst,DDlp,355.73
AAdk,BBtw,CCbx,DDcs,615.39
AAdk,BBtw,CChv,DDhm,381.58
AAdk,BBtw,CCst,DDdf,376.52
AAdk,BBtw,CCbx,DDnt,509.94
