CC,DD,AAdk_BBpw,AAdk_BBtw,AAdk_BBqx,AAtv_BBhz,AAtv_BBmn,AAdn_BBrv,AAdn_BBhr,AAdn_BBdl
Minimum,,37.25,6.95,65.51,0.16,34.40,21.26,83.83,54.91
,  ,37.25,6.95,65.51,0.16,34.40,21.26,83.83,54.91
CChv,,42.14,6.95,65.51,62.52,34.90,21.26,83.83,54.91
,  DDrz,46.54,10.12,72.69,64.51,38.13,30.99,91.38,55.12
,  DDnt,42.14,6.95,65.51,62.52,34.90,21.26,83.83,54.91
,  DDlp,49.78,14.40,76.26,66.69,40.04,34.70,98.62,59.39
CCst,,37.25,8.84,71.50,0.16,34.40,21.96,84.71,55.04
,  DDnw,37.25,8.84,71.50,0.16,34.40,21.96,84.71,55.04
,  DDnt,52.13,16.05,80.61,68.33,40.49,35.03,99.60,61.40
,  DDcl,48.08,13.82,73.91,66.37,38.91,31.80,95.36,57.28
