AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,261.69
AAdk,BBtw,CChv,DDtv,EEmn,778.48
AAdk,BBtw,CChv,DDnt,EEfh,909.11
AAdk,BBtw,CChv,DDtv,EElp,782.44
AAdk,BBtw,CChv,DDnt,EEfx,659.86
AAdk,BBtw,CChv,DDtv,EEdn,275.5
AAdk,BBst,CChv,DDnt,EEdn,922.91
AAdk,BBst,CChv,DDtv,EEmn,155.78
AAdk,BBst,CChv,DDnt,EEfh,669.65
AAdk,BBst,CChv,DDtv,EElp,32.5
AAdk,BBst,CChv,DDnt,EEfx,290.34
AAdk,BBst,CChv,DDtv,EEdn,165.09
AAdk,BBrz,CChv,DDnt,EEdn,303.24
AAdk,BBrz,CChv,DDtv,EEmn,48.69
AAdk,BBrz,CChv,DDnt,EEfh,690.31
AAdk,BBrz,CChv,DDtv,EElp,949.2
AAdk,BBrz,CChv,DDnt,EEfx,846.0
AAdk,BBrz,CChv,DDtv,EEdn,596.54
AAdk,BBtw,CChv,DDnt,EEdn,340.02
AAdk,BBtw,CChv,DDtv,EEmn,345.34
AAdk,BBtw,CChv,DDnt,EEfh,219.53
AAdk,BBtw,CChv,DDtv,EElp,348.9
AAdk,BBtw,CChv,DDnt,EEfx,352.25
AAdk,BBtw,CChv,DDtv,EEdn,483.36
AAdk,BBst,CChv,DDnt,EEdn,100.14
AAdk,BBst,CChv,DDtv,EEmn,484.19
AAdk,BBst,CChv,DDnt,EEfh,621.15
AAdk,BBst,CChv,DDtv,EElp,497.92
AAdk,BBst,CChv,DDnt,EEfx,501.59
AAdk,BBst,CChv,DDtv,EEdn,889.67
