CC,DD,EE,FF,AApqr_BBcjx,AApqr_BBbgp,AApqr_BBnqx,AAfnw_BBkrs,AAfnw_BBqz
CCkqy,DDbkv,EEmz,FFbpv,63.62,98.09,23.29,48.66,79.64
,DDbsz,EEhpx,FFbpv,60.12,95.50,14.46,31.08,78.44
,DDcwz,EEmz,FFbpv,58.93,89.76,5.58,27.24,70.93
CCcy,DDbkv,EEhpx,FFlmr,58.91,87.06,1.92,26.24,68.82
,DDmx,EEhpx,FFlmr,63.60,97.18,17.91,39.09,80.97
,DDbmz,EEmz,FFlmr,60.91,91.62,13.92,29.97,76.62
CCbt,DDmpy,EEmz,FFgqt,63.09,95.72,15.61,31.13,77.16
,DDhpt,EEhpx,FFgqt,60.45,89.12,7.64,29.72,76.40
,DDmx,EEmz,FFgqt,49.06,83.78,0.64,24.60,67.78
Minimum,,,,49.06,83.78,0.64,24.60,67.78
