CC,DD,AAfnw_BBgv,AAfnw_BBqz,AAfnw_BBkrs,AApqr_BBnqx,AApqr_BBbgp,AApqr_BBcjx,EE,FF
CCcy,,91.77,54.26,11.38,3.38,82.21,37.09,,
,  DDmx,96.54,75.95,29.15,6.41,86.74,42.85,EEmz,FFgqt
,  DDhpt,95.97,66.21,21.50,4.72,82.80,40.26,EEmz,FFgqt
,  DDbkv,91.77,54.26,11.38,3.38,82.21,37.09,EEmz,FFgqt
CCbt,,90.93,49.91,8.17,0.32,78.25,29.04,,
,  DDmx,90.93,49.91,8.17,0.32,78.25,29.04,EEmz,FFgqt
,  DDcwz,92.91,54.44,14.42,4.46,83.52,38.16,EEmz,FFgqt
,  DDbmz,96.70,70.93,24.06,4.76,84.35,40.94,EEmz,FFgqt
Minimum,,90.93,49.91,8.17,0.32,78.25,29.04,,
,  ,90.93,49.91,8.17,0.32,78.25,29.04,,
