DD,EE,AAgqt_BBfnw_CCbpv,AAgqt_BBfnw_CCbmz,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCprw,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCcqx,Maximum
DDmx,,27.32,21.97,15.87,18.15,5.18,24.99,27.32
,  EEbhk,25.66,3.47,15.87,18.15,5.18,24.99,25.66
,  EEmz,27.32,6.86,9.10,8.12,0.31,18.35,27.32
,  EEqz,24.92,21.97,12.05,13.88,3.27,21.92,24.92
DDcjx,,27.31,24.89,14.19,11.64,7.30,23.49,27.31
,  EEdhv,27.31,2.72,13.14,5.80,4.11,23.49,27.31
,  EEkqy,22.06,20.78,11.79,11.64,0.88,19.13,22.06
,  EEmz,8.50,24.89,14.19,5.37,7.30,20.46,24.89
DDcy,,27.43,23.58,15.05,18.58,7.03,25.36,27.43
,  EEmpy,5.85,23.58,15.05,18.58,7.03,25.36,25.36
,  EEcrv,27.43,21.47,13.66,16.34,4.74,20.09,27.43
,  EEbkv,20.66,19.56,3.88,4.85,0.29,19.23,20.66
Maximum,,27.43,24.89,15.87,18.58,7.30,25.36,27.43
,  ,27.43,24.89,15.87,18.58,7.30,25.36,27.43
