CC,DD,AApqr_BBqz,AApqr_BBnqx,AApqr_BBlt,AAcqx_BBgv,AAcqx_BBcjx,AAfnw_BBkrs,AAfnw_BBbgp,Minimum,EE,FF
CCcy,,37.81,2.77,96.22,73.49,20.85,13.85,56.36,2.77,,
,  DDbsz,52.08,13.10,97.19,83.01,20.85,20.65,73.11,13.10,EEhpx,FFbpv
,  DDbkv,37.81,2.77,96.22,73.49,20.94,15.80,56.36,2.77,EEhpx,FFlmr
,  DDhpt,42.43,5.91,98.20,78.87,24.78,13.85,69.34,5.91,EEhpx,FFgqt
CCbt,,37.25,1.27,88.75,74.24,21.87,13.57,55.20,1.27,,
,  DDcwz,41.52,3.26,97.78,77.96,23.51,16.61,64.65,3.26,EEmz,FFbpv
,  DDbmz,47.81,8.69,99.60,80.53,23.75,19.49,70.72,8.69,EEmz,FFlmr
,  DDmx,37.25,1.27,88.75,74.24,21.87,13.57,55.20,1.27,EEmz,FFgqt
Minimum,,37.25,1.27,88.75,73.49,20.85,13.57,55.20,1.27,,
,  ,37.25,1.27,88.75,73.49,20.85,13.57,55.20,1.27,,
