DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,AApqr_BBnry_CCbpv,AApqr_BBnqx_CCbt,AApqr_BBgv_CCcqx,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCkrs,Average
DDcy,EEbkv,53.13,-65.50,5.07,15.38,-17.93,85.92,-46.75,4.19
,EEmpy,62.31,-64.14,-89.93,14.26,-11.67,87.58,-41.59,-6.17
,EEcrv,57.53,-68.40,0.11,10.93,-23.68,80.92,-49.96,1.06
DDcjx,EEdhv,59.94,-66.86,-98.18,10.25,-22.21,83.01,-50.53,-12.08
,EEhq,65.12,-62.83,-89.57,16.21,-9.30,92.84,-40.84,-4.05
,EEkqy,57.44,-63.41,10.83,17.46,-17.18,87.84,-45.72,6.75
DDmx,EEmz,50.75,-65.81,2.85,12.58,-19.65,83.46,-49.45,2.10
,EEqz,43.37,-68.82,98.11,9.44,-26.68,80.52,-50.78,12.17
,EEbhk,62.43,-67.80,-90.71,10.74,-20.72,85.07,-47.17,-9.74
Average,,56.89,-65.95,-27.94,13.03,-18.78,85.24,-46.98,-0.64
