DD,EE,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbt,AApqr_BBgv_CCbt,AAhpx_BBlsx_CCcqx,AAhpx_BBlmr_CCcqx,AAgqt_BBhpt_CCkrs,AAgqt_BBfnw_CCkrs,Average
DDmx,,-53.98,7.34,-19.01,49.74,48.80,25.56,-2.40,8.01
,  EEqz,-91.75,58.88,-22.03,91.55,49.89,67.16,40.32,27.72
,  EEbhk,-71.87,37.54,-6.90,-28.19,52.35,-55.46,-85.29,-22.55
,  EEmz,1.69,-74.41,-28.11,85.86,44.15,64.97,37.78,18.85
DDcjx,,23.86,-27.94,-12.65,52.77,7.25,-13.29,41.02,10.15
,  EEdhv,27.88,60.39,-12.54,99.56,47.39,72.48,38.05,47.60
,  EEkqy,11.32,-71.33,-24.11,85.42,48.43,-64.58,39.08,3.46
,  EEmz,32.38,-72.89,-1.29,-26.67,-74.08,-47.76,45.92,-20.63
DDcy,,-24.99,-27.64,-35.68,50.93,-81.64,27.78,-46.78,-19.72
,  EEcrv,21.25,-69.29,-80.30,93.53,-84.69,-58.33,-91.49,-38.47
,  EEmpy,-99.95,-66.63,-2.35,-27.22,-76.22,76.12,41.55,-22.10
,  EEbkv,3.74,52.99,-24.38,86.49,-84.01,65.56,-90.39,1.43
